NAICS2022_LABEL,EMP,NAME,GEO_ID,NAICS2022,us
Paperboard Container Manufacturing,156182,United States,0100000US,32221,1
Corrugated and Solid Fiber Box Manufacturing,91382,United States,0100000US,322211,1
Folding Paperboard Box Manufacturing,45586,United States,0100000US,322212,1
Other Paperboard Container Manufacturing,19214,United States,0100000US,322219,1
Paper Bag and Coated and Treated Paper Manufacturing,53869,United States,0100000US,32222,1
Paper Bag and Coated and Treated Paper Manufacturing,53869,United States,0100000US,322220,1
Stationery Product Manufacturing,15661,United States,0100000US,32223,1
Stationery Product Manufacturing,15661,United States,0100000US,322230,1
Other Converted Paper Product Manufacturing,33032,United States,0100000US,32229,1
Sanitary paper product manufacturing,18442,United States,0100000US,322291,1
All Other Converted Paper Product Manufacturing,14590,United States,0100000US,322299,1
Printing and Related Support Activities,379976,United States,0100000US,323,1
Printing and Related Support Activities,379976,United States,0100000US,3231,1
Printing,363932,United States,0100000US,32311,1
Commercial Printing (except Screen and Books),273019,United States,0100000US,323111,1
Commercial Screen Printing,71659,United States,0100000US,323113,1
Books Printing,19254,United States,0100000US,323117,1
Support Activities for Printing,16044,United States,0100000US,32312,1
Support Activities for Printing,16044,United States,0100000US,323120,1
Petroleum and Coal Products Manufacturing,99068,United States,0100000US,324,1
Petroleum and Coal Products Manufacturing,99068,United States,0100000US,3241,1
Petroleum Refineries,57192,United States,0100000US,32411,1
Petroleum Refineries,57192,United States,0100000US,324110,1
"Asphalt Paving, Roofing, and Saturated Materials Manufacturing",26168,United States,0100000US,32412,1
Asphalt Paving Mixture and Block Manufacturing,15810,United States,0100000US,324121,1
Asphalt Shingle and Coating Materials Manufacturing,10358,United States,0100000US,324122,1
Other Petroleum and Coal Products Manufacturing,15708,United States,0100000US,32419,1
Petroleum Lubricating Oil and Grease Manufacturing,12451,United States,0100000US,324191,1
All Other Petroleum and Coal Products Manufacturing,3257,United States,0100000US,324199,1
Chemical Manufacturing,888737,United States,0100000US,325,1
Basic chemical manufacturing,162840,United States,0100000US,3251,1
Petrochemical Manufacturing,10829,United States,0100000US,32511,1
Petrochemical Manufacturing,10829,United States,0100000US,325110,1
Industrial Gas Manufacturing,14626,United States,0100000US,32512,1
Industrial Gas Manufacturing,14626,United States,0100000US,325120,1
Synthetic Dye and Pigment Manufacturing,8554,United States,0100000US,32513,1
Synthetic Dye and Pigment Manufacturing,8554,United States,0100000US,325130,1
Other Basic Inorganic Chemical Manufacturing,43595,United States,0100000US,32518,1
Other Basic Inorganic Chemical Manufacturing,43595,United States,0100000US,325180,1
Other Basic Organic Chemical Manufacturing,85236,United States,0100000US,32519,1
Ethyl Alcohol Manufacturing,10761,United States,0100000US,325193,1
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",5701,United States,0100000US,325194,1
All Other Basic Organic Chemical Manufacturing,68774,United States,0100000US,325199,1
"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",114605,United States,0100000US,3252,1
Resin and Synthetic Rubber Manufacturing,101373,United States,0100000US,32521,1
Plastics Material and Resin Manufacturing,90042,United States,0100000US,325211,1
Synthetic Rubber Manufacturing,11331,United States,0100000US,325212,1
Artificial and Synthetic Fibers and Filaments Manufacturing,13232,United States,0100000US,32522,1
Artificial and Synthetic Fibers and Filaments Manufacturing,13232,United States,0100000US,325220,1
"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",37282,United States,0100000US,3253,1
Fertilizer and Compost Manufacturing,23676,United States,0100000US,32531,1
Nitrogenous Fertilizer Manufacturing,6500,United States,0100000US,325311,1
Phosphatic Fertilizer Manufacturing,6979,United States,0100000US,325312,1
Fertilizer (Mixing Only) Manufacturing,8320,United States,0100000US,325314,1
Compost Manufacturing,1877,United States,0100000US,325315,1
Pesticide and Other Agricultural Chemical Manufacturing,13606,United States,0100000US,32532,1
Pesticide and Other Agricultural Chemical Manufacturing,13606,United States,0100000US,325320,1
Pharmaceutical and Medicine Manufacturing,304238,United States,0100000US,3254,1
Pharmaceutical and medicine manufacturing,304238,United States,0100000US,32541,1
Medicinal and Botanical Manufacturing,31151,United States,0100000US,325411,1
Pharmaceutical Preparation Manufacturing,160901,United States,0100000US,325412,1
In-Vitro Diagnostic Substance Manufacturing,41726,United States,0100000US,325413,1
Biological Product (except Diagnostic) Manufacturing,70460,United States,0100000US,325414,1
"Paint, Coating, and Adhesive Manufacturing",74669,United States,0100000US,3255,1
Paint and Coating Manufacturing,42768,United States,0100000US,32551,1
Paint and Coating Manufacturing,42768,United States,0100000US,325510,1
Adhesive Manufacturing,31901,United States,0100000US,32552,1
Adhesive Manufacturing,31901,United States,0100000US,325520,1
"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",108203,United States,0100000US,3256,1
Soap and Cleaning Compound Manufacturing,57317,United States,0100000US,32561,1
Soap and Other Detergent Manufacturing,34143,United States,0100000US,325611,1
Polish and Other Sanitation Good Manufacturing,17075,United States,0100000US,325612,1
Surface Active Agent Manufacturing,6099,United States,0100000US,325613,1
Toilet Preparation Manufacturing,50886,United States,0100000US,32562,1
Toilet Preparation Manufacturing,50886,United States,0100000US,325620,1
Other chemical product and preparation manufacturing,86900,United States,0100000US,3259,1
